"IPAddress","Status","HostName"
"172.21.72.4","Allocated","00SISP1ODBW001-BNIC"
"172.21.72.5","Allocated","00SISP1ODBW001-NIC"
"172.21.72.6","Allocated","00SISP1ODBW002-NIC"
"172.21.72.7","Allocated","00SISP1ODBW002-BNIC"
"172.21.72.8","Allocated","00SISP1ODBW003-NIC"
"172.21.72.9","Allocated","00SISP1ODBW003-BNIC"
"172.21.72.10","Allocated","00SISP1ODBW004-NIC"
"172.21.72.11","Allocated","00SISP1ODBW004-NIC"
"172.21.72.12","Allocated","00SISP1ODBW005-NIC"
"172.21.72.13","Allocated","00SISP1ODBW005-NIC"
"172.21.72.14","Allocated","00SISP1ODBW006-Nic"
"172.21.72.15","Allocated","00SISP1ODBW006-BNic"
"172.21.72.16","Allocated","00SISP1ODBW007-Nic"
"172.21.72.17","Allocated","00SISP1ODBW007-BNic"
"172.21.72.18","Allocated","00SISP1ODBW007-Nic"
"172.21.72.19","Allocated","00SISP1ODBW007-BNic"
"172.21.72.20","Allocated","00SISP1ODBW008-Nic"
"172.21.72.21","Allocated","00SISP1ODBW008-BNic"
"172.21.72.22","Allocated","00SISP1ODBW009-Nic"
"172.21.72.23","Allocated","00SISP1ODBW009-BNic"
"172.21.72.24","Allocated","00SISP1ODBW009-Nic"
"172.21.72.25","Allocated","00SISP1ODBW009-BNic"
"172.21.72.26","Allocated","00SISP1ODBW010-Nic"
"172.21.72.27","Allocated","00SISP1ODBW010-BNic"
"172.21.72.28","Allocated","00SISP1ODBW011-Nic"
"172.21.72.29","Allocated","00SISP1ODBW011-BNic"
"172.21.72.30","Allocated","00SISP1ODBW012-Nic"
"172.21.72.31","Allocated","00SISP1ODBW012-BNic"
"172.21.72.32","Allocated","00SISP1ODBW013-Nic"
"172.21.72.33","Allocated","00SISP1ODBW013-BNic"
"172.21.72.34","Allocated","00SISP1ODBW014-Nic"
"172.21.72.35","Allocated","00SISP1ODBW014-BNic"
"172.21.72.36","Allocated","00SISP1ODBW015-Nic"
"172.21.72.37","Allocated","00SISP1ODBW015-BNic"
"172.21.72.38","Allocated","00SISP1ODBW016-Nic"
"172.21.72.39","Allocated","00SISP1ODBW016-BNic"
"172.21.72.40","Allocated","00SISP1ODBW017-Nic"
"172.21.72.41","Allocated","00SISP1ODBW017-BNic"
"172.21.72.42","Allocated","00SISP1ODBW018-Nic"
"172.21.72.43","Allocated","00SISP1ODBW018-BNic"
"172.21.72.44","Allocated","00SISP1ODBW019-Nic"
"172.21.72.45","Allocated","00SISP1ODBW019-BNic"
"172.21.72.46","Allocated","00SISP1ODBW020-Nic"
"172.21.72.47","Allocated","00SISP1ODBW020-BNic"
"172.21.72.48","Allocated","00SISP1ODBW021-Nic"
"172.21.72.49","Allocated","00SISP1ODBW021-BNic"
"172.21.72.50","Allocated","00SISP1ODBW022-Nic"
"172.21.72.51","Allocated","00SISP1ODBW022-BNic"
"172.21.72.52","Allocated","00SISP1ODBW023-Nic"
"172.21.72.53","Allocated","00SISP1ODBW023-BNic"
"172.21.72.54","Allocated","00SISP1ODBW024-Nic"
"172.21.72.55","Allocated","00SISP1ODBW024-BNic"
"172.21.72.56","Allocated","00SISP1ODBW025-Nic"
"172.21.72.57","Allocated","00SISP1ODBW025-BNic"
"172.21.72.58","Allocated","00SISP1ODBW026-Nic"
"172.21.72.59","Allocated","00SISP1ODBW026-BNic"
"172.21.72.60","Allocated","00SISP1ODBW027-Nic"
"172.21.72.61","Allocated","00SISP1ODBW027-BNic"
"172.21.72.62","Allocated","00SISP1ODBW028-Nic"
"172.21.72.63","Allocated","00SISP1ODBW028-BNic"
"172.21.72.64","Allocated","00SISP1ODBW033-Nic"
"172.21.72.65","Allocated","00SISP1ODBW033-BNic"
"172.21.72.66","Allocated","00SISP1ODBW034-Nic"
"172.21.72.67","Allocated","00SISP1ODBW034-BNic"
"172.21.72.68","Allocated","00SISP1ODBW035-Nic"
"172.21.72.69","Allocated","00SISP1ODBW035-BNic"
"172.21.72.70","Allocated","00SISP1ODBW036-Nic"
"172.21.72.71","Allocated","00SISP1ODBW036-BNic"
"172.21.72.72","Allocated","00SISP1ODBW037-Nic"
"172.21.72.73","Allocated","00SISP1ODBW037-BNic"
"172.21.72.74","Allocated","00SISP1ODBW038-Nic"
"172.21.72.75","Allocated","00SISP1ODBW038-BNic"
"172.21.72.76","Allocated","00SISP1ODBW039-Nic"
"172.21.72.77","Allocated","00SISP1ODBW039-BNic"
"172.21.72.78","Allocated","00SISP1ODBW040-Nic"
"172.21.72.79","Allocated","00SISP1ODBW040-BNic"
"172.21.72.80","Allocated","00SISP1ODBW041-Nic"
"172.21.72.81","Allocated","00SISP1ODBW041-BNic"
"172.21.72.82","Allocated","00SISP1ODBW042-Nic"
"172.21.72.83","Allocated","00SISP1ODBW042-BNic"
"172.21.72.84","Allocated","00SISP1ODBW043-Nic"
"172.21.72.85","Allocated","00SISP1ODBW043-BNic"
"172.21.72.86","Allocated","00SISP1ODBW044-Nic"
"172.21.72.87","Allocated","00SISP1ODBW044-BNic"
"172.21.72.88","Allocated","00SISP1ODBW045-Nic"
"172.21.72.89","Allocated","00SISP1ODBW045-BNic"
"172.21.72.90","Allocated","00SISP1ODBW046-Nic"
"172.21.72.91","Allocated","00SISP1ODBW046-BNic"
"172.21.72.92","Allocated","00SISP1ODBW047-Nic"
"172.21.72.93","Allocated","00SISP1ODBW047-BNic"
"172.21.72.94","Allocated","00SISP1ODBW048-Nic"
"172.21.72.95","Allocated","00SISP1ODBW048-BNic"
"172.21.72.96","Allocated","00SISP1ODBW049-Nic"
"172.21.72.97","Allocated","00SISP1ODBW049-BNic"
"172.21.72.98","Allocated","00SISP1ODBW050-Nic"
"172.21.72.99","Allocated","00SISP1ODBW050-BNic"
"172.21.72.100","Allocated","00SISP1ODBW051-Nic"
"172.21.72.101","Allocated","00SISP1ODBW051-BNic"
"172.21.72.102","Allocated","00SISP1ODBW052-Nic"
"172.21.72.103","Allocated","00SISP1ODBW052-BNic"
"172.21.72.104","Allocated","00SISP1ODBW053-Nic"
"172.21.72.105","Allocated","00SISP1ODBW053-BNic"
"172.21.72.106","Allocated","00SISP1ODBW054-Nic"
"172.21.72.107","Allocated","00SISP1ODBW054-BNic"
"172.21.72.108","Allocated","00SISP1ODBW055-Nic"
"172.21.72.109","Allocated","00SISP1ODBW055-BNic"
"172.21.72.110","Allocated","00SISP1ODBW056-Nic"
"172.21.72.111","Allocated","00SISP1ODBW056-BNic"
"172.21.72.112","Allocated","00SISP1ODBW057-Nic"
"172.21.72.113","Allocated","00SISP1ODBW057-BNic"
"172.21.72.114","Allocated","00SISP1ODBW058-Nic"
"172.21.72.115","Allocated","00SISP1ODBW058-BNic"
"172.21.72.116","Allocated","00SISP1ODBW029-Nic"
"172.21.72.117","Allocated","00SISP1ODBW029-BNic"
"172.21.72.118","Allocated","00SISP1ODBW030-Nic"
"172.21.72.119","Allocated","00SISP1ODBW030-BNic"
"172.21.72.120","Allocated","00SISP1ODBW031-Nic"
"172.21.72.121","Allocated","00SISP1ODBW031-BNic"
"172.21.72.122","Allocated","00SISP1ODBW032-Nic"
"172.21.72.123","Allocated","00SISP1ODBW032-BNic"
"172.21.72.124","Allocated","00SISP1ODBW063-Nic"
"172.21.72.125","Allocated","00SISP1ODBW063-BNic"
