"IPAddress","Status","HostName"
"172.21.104.5","Allocated","02SISP1ODBW001-Nic"
"172.21.104.6","Allocated","02SISP1ODBW001-BNic"
"172.21.104.7","Allocated","02SISP1ODBW002-Nic"
"172.21.104.8","Allocated","02SISP1ODBW002-BNic"
"172.21.104.9","Allocated","02SISP1ODBW003-Nic"
"172.21.104.10","Allocated","02SISP1ODBW003-BNic"
"172.21.104.11","Allocated","02SISP1ODBW004-Nic"
"172.21.104.12","Allocated","02SISP1ODBW004-BNic"
"172.21.104.13","Allocated","02SISP1ODBW005-Nic"
"172.21.104.14","Allocated","02SISP1ODBW005-BNic"
"172.21.104.15","Allocated","02SISP1ODBW006-Nic"
"172.21.104.16","Allocated","02SISP1ODBW006-BNic"
"172.21.104.17","Allocated","02SISP1ODBW007-Nic"
"172.21.104.18","Allocated","02SISP1ODBW007-BNic"
"172.21.104.19","Allocated","02SISP1ODBW008-Nic"
"172.21.104.20","Allocated","02SISP1ODBW008-BNic"
"172.21.104.21","Allocated","02SISP1ODBW009-Nic"
"172.21.104.22","Allocated","02SISP1ODBW009-BNic"
"172.21.104.23","Allocated","02SISP1ODBW010-Nic"
"172.21.104.24","Allocated","02SISP1ODBW010-BNic"
"172.21.104.25","Allocated","02SISP1ODBW011-Nic"
"172.21.104.26","Allocated","02SISP1ODBW011-BNic"
"172.21.104.27","Allocated","02SISP1ODBW012-Nic"
"172.21.104.28","Allocated","02SISP1ODBW012-BNic"
"172.21.104.29","Allocated","02SISP1ODBW013-Nic"
"172.21.104.30","Allocated","02SISP1ODBW013-BNic"
"172.21.104.31","Allocated","02SISP1ODBW014-Nic"
"172.21.104.32","Allocated","02SISP1ODBW014-BNic"
"172.21.104.33","Allocated","02SISP1ODBW015-Nic"
"172.21.104.34","Allocated","02SISP1ODBW015-BNic"
"172.21.104.35","Allocated","02SISP1ODBW016-Nic"
"172.21.104.36","Allocated","02SISP1ODBW016-BNic"
"172.21.104.37","Allocated","02SISP1ODBW017-Nic"
"172.21.104.38","Allocated","02SISP1ODBW017-BNic"
"172.21.104.39","Allocated","02SISP1ODBW018-Nic"
"172.21.104.40","Allocated","02SISP1ODBW018-BNic"
"172.21.104.41","Allocated","02SISP1ODBW019-Nic"
