"IPAddress","Status","HostName"
"172.21.136.5","Allocated","20SISP1ODBW001-Nic"
"172.21.136.6","Allocated","20SISP1ODBW001-BNic"
"172.21.136.7","Allocated","20SISP1ODBW002-Nic"
"172.21.136.8","Allocated","20SISP1ODBW002-BNic"
"172.21.136.9","Allocated","20SISP1ODBW003-Nic"
"172.21.136.10","Allocated","20SISP1ODBW003-BNic"
"172.21.136.11","Allocated","20SISP1ODBW004-Nic"
"172.21.136.12","Allocated","20SISP1ODBW004-BNic"
"172.21.136.13","Allocated","20SISP1ODBW005-Nic"
"172.21.136.14","Allocated","20SISP1ODBW005-BNic"
"172.21.136.15","Allocated","20SISP1ODBW006-Nic"
"172.21.136.16","Allocated","20SISP1ODBW006-BNic"
"172.21.136.17","Allocated","20SISP1ODBW007-Nic"
"172.21.136.18","Allocated","20SISP1ODBW007-BNic"
"172.21.136.19","Allocated","20SISP1ODBW008-Nic"
"172.21.136.20","Allocated","20SISP1ODBW008-BNic"
"172.21.136.21","Allocated","20SISP1ODBW009-Nic"
"172.21.136.22","Allocated","20SISP1ODBW009-BNic"
"172.21.136.23","Allocated","20SISP1ODBW010-Nic"
"172.21.136.24","Allocated","20SISP1ODBW010-BNic"
"172.21.136.25","Allocated","20SISP1ODBW011-Nic"
"172.21.136.26","Allocated","20SISP1ODBW011-BNic"
"172.21.136.27","Allocated","20SISP1ODBW012-Nic"
"172.21.136.28","Allocated","20SISP1ODBW012-BNic"
"172.21.136.29","Allocated","20SISP1ODBW013-Nic"
"172.21.136.30","Allocated","20SISP1ODBW013-BNic"
"172.21.136.31","Allocated","20SISP1ODBW014-Nic"
"172.21.136.32","Allocated","20SISP1ODBW014-BNic"
"172.21.136.33","Allocated","20SISP1ODBW015-Nic"
"172.21.136.34","Allocated","20SISP1ODBW015-BNic"
"172.21.136.35","Allocated","20SISP1ODBW016-Nic"
"172.21.136.36","Allocated","20SISP1ODBW016-BNic"
"172.21.136.37","Allocated","20SISP1ODBW017-Nic"
"172.21.136.38","Allocated","20SISP1ODBW017-BNic"
"172.21.136.39","Allocated","20SISP1ODBW018-Nic"
"172.21.136.40","Allocated","20SISP1ODBW018-BNic"
"172.21.136.41","Allocated","20SISP1ODBW019-Nic"
"172.21.136.42","Allocated","20SISP1ODBW019-BNic"
"172.21.136.43","Allocated","20SISP1ODBW020-Nic"
"172.21.136.44","Allocated","20SISP1ODBW020-BNic"
"172.21.136.45","Allocated","20SISP1ODBW021-Nic"
"172.21.136.46","Allocated","20SISP1ODBW021-BNic"
"172.21.136.47","Allocated","20SISP1ODBW022-Nic"
"172.21.136.48","Allocated","20SISP1ODBW022-BNic"
"172.21.136.49","Allocated","20SISP1ODBW023-Nic"
"172.21.136.50","Allocated","20SISP1ODBW023-BNic"
"172.21.136.51","Allocated","20SISP1ODBW024-Nic"
"172.21.136.52","Allocated","20SISP1ODBW024-BNic"
"172.21.136.53","Allocated","20SISP1ODBW025-Nic"
